Name,OrgType,Category,Email,Phone,Website,Address,City,State,Zip,Notes
Oliver Gospel Mission,nonprofit,Homeless/Recovery,frontdesk@olivergospel.org,(803) 254-6470,olivergospel.org,1100 Taylor St,Columbia,SC,29201,Men's shelter + women's Toby's Place — largest homeless ministry in Columbia
Killingsworth Home for Women,nonprofit,Women's Recovery,admin@killingsworth.org,(803) 771-6359,killingsworth.org,1831 Pendleton St,Columbia,SC,29201,Women recovering from crisis — 8-bedroom Christian recovery home
Impact Change,nonprofit,Homeless Ministry,info@impactchange.org,(803) 386-8677,impactchange.org,PO Box 291943,Columbia,SC,29229,Homeless men/women — education + employment + ministry
MORE Justice Columbia,nonprofit,Faith Justice Network,morejusticecolumbia@gmail.com,(803) 708-9097,morejusticecolumbia.org,,Columbia,SC,,Faith network doing justice work across Midlands
Life Giving Outreach Ministries,nonprofit,Ministry,lifegivingoutreachministries7@gmail.com,(803) 786-0088,lgominc.org,6101 North Main St,Columbia,SC,29203,Boot-camp style Kingdom ministry — Sunday worship + leadership training
Epiphany Ministry of SC,nonprofit,Youth Prison Ministry,epiphany@southcarolinaepiphany.org,,southcarolinaepiphany.org,PO Box 5786,West Columbia,SC,29171,Ministry to incarcerated youth at SC DJJ
Child Evangelism Fellowship Columbia Midlands,nonprofit,Youth Evangelism,info@cefcolumbiamidlands.org,(803) 798-4405,cefcolumbiamidlands.org,,Columbia,SC,,Bible-centered evangelism to boys and girls across Midlands
Jubilee Academy,school,Christian School,info@jubileeacademysc.org,(803) 787-3009,jubileeacademysc.org,PO Box 4476,Columbia,SC,29240,Christian Montessori school — K-8
Palmetto Family Council,nonprofit,Family Advocacy,email@palmettofamily.org,(803) 733-5600,palmettofamily.org,,Columbia,SC,,Faith-based family advocacy org — very active online
It's Time Ministries,nonprofit,Ministry,info@itstimeministries.org,(803) 386-8438,itstimeministries.org,PO Box 8102,Columbia,SC,29202,Faith-based outreach ministry
BTS Ministries,nonprofit,Ministry,info@btsministries.org,(803) 216-5617,btsministries.org,1723 Blue Ridge Terrace,Columbia,SC,29203,Community outreach ministry
Oasis of Hope Outreach Ministry,nonprofit,Ministry,oasisofhope@sc.rr.com,(803) 238-4323,oasisoutreach.org,7900 Nell St,Columbia,SC,29223,20 years prison/jail evangelism — Pastor LaVinia Young
Keepin It Real Ministries,nonprofit,Homeless Ministry,keepinitrealministriessc@gmail.com,(803) 406-0724,keepinitrealsc.org,PO Box 2403,Columbia,SC,29202,Street homeless ministry — Pastor Oscar Gadsden — 20 years serving downtown
Cooperative Ministry,nonprofit,Food/Crisis,,(803) 799-3853,coopmin.org,3600 Covenant Rd,Columbia,SC,29201,Multi-church food pantry and crisis services
Christ Central Ministries,nonprofit,Inner-City Outreach,,(803) 786-1776,christcentral.org,2800 Two Notch Rd,Columbia,SC,29201,Inner-city outreach — food clothing Bible studies
Harvest Hope Food Bank,nonprofit,Food Ministry,,(803) 254-4432,harvesthope.org,2220 Shop Rd,Columbia,SC,29201,Largest faith-based food bank in SC — serves 430+ agencies
Calvary Home for Children,nonprofit,Child Care,,(803) 798-0749,calvaryhome.org,7500 Monticello Rd,Columbia,SC,29201,Residential Christian childcare
Midlands Housing Alliance,nonprofit,Housing Ministry,,(803) 256-0074,midlandshousingalliance.org,,Columbia,SC,,Housing + homeless ministry
Transitions Ministries,nonprofit,Men's Recovery,,(803) 926-0200,thetransitionshome.org,,Columbia,SC,,Men's recovery + housing ministry
Family Shelter of the Midlands,nonprofit,Emergency Shelter,,(803) 926-9505,,,Columbia,SC,,Emergency shelter — family focus
Home Works of America,nonprofit,Home Repair Ministry,,(803) 781-4536,homeworksofamerica.org,3823 W Beltline Blvd,Columbia,SC,29204,Repairs homes for elderly/disabled with volunteers — Christ-centered
Providence Home,nonprofit,Men's Recovery,,(803) 779-2927,providencehomecolumbia.org,,Columbia,SC,,Christ-focused transitional housing for men — addiction/incarceration
FreshSTART Columbia,nonprofit,Recovery Ministry,,,freshstartcolumbia.org,,Columbia,SC,,Faith-based addiction recovery — Rev. Dedra Campbell — 1200+ clients served
Flame of Fire Mission,nonprofit,Homeless Ministry,,(803) 354-0311,flameoffiremission.org,PO Box 7553,Columbia,SC,29202,Homeless street ministry
Kingdom Outreach Ministerial Alliance,nonprofit,Ministry Alliance,,,kingdomoutreachministerialalliance.org,,Columbia,SC,29203,501c3 ministerial alliance — community crusades in high-crime zone
Columbia International University,school,University,,(803) 754-4100,ciu.edu,7435 Monticello Rd,Columbia,SC,29203,Evangelical university + seminary — needs enrollment marketing
Ben Lippen School,school,Christian School,,(803) 807-5000,benlippen.com,7435 Monticello Rd,Columbia,SC,29203,K-12 Christian school on CIU campus — college prep
Hammond School,school,Private School,,(803) 776-0295,hammondschool.org,854 Galway Ln,Columbia,SC,29209,K-12 faith-based independent — 1000 students
Rhema Christian School,school,Christian School,,(803) 803-3701,rhemachristian.com,109 Roseberry Lane,Columbia,SC,29223,K-5 Christian school — spiritual formation integrated
Grace Community Academy,school,Christian School,,(803) 679-6423,gcacademysc.org,577 W Killian Rd,Columbia,SC,29203,K-12 classical Christian school — opened 2021
EDGE Christian Academy,school,Christian School,,(803) 796-2860,edgechristianacademy.net,3222 Platt Springs Rd,West Columbia,SC,29170,Christian academy West Columbia
Soaring Eagles Christian Academy,school,Christian School,,(803) 638-4970,soaringeaglesca.org,739 Old Clemson Rd,Columbia,SC,29229,K-6 Christian school NE Columbia — 29229 same zip as King
Bethel Christian Academy,school,Christian School,,,bethellearningcenterscolumbia.org,,Columbia,SC,,Premier African-American Christian school — SCISA accredited
Northside Christian School,school,Christian School,,,northsidechristian.org,,Columbia,SC,,PK-12 Christian school
Whitefield Academy,school,Christian School,,,whitefieldacademy.net,,Columbia,SC,,K-12 classical Christian
Heathwood Hall Episcopal,school,Faith-Based School,,(803) 765-2309,heathwoodhall.org,3000 S Beltline Blvd,Columbia,SC,29201,K-12 Episcopal faith-based school
Young Life Midlands,youth,Youth Outreach,,(803) 765-1500,younglife.org/midlands,,Columbia,SC,,Middle + high school outreach — large volunteer base needs social media
FCA Midlands,youth,Youth Sports Ministry,,(803) 750-1122,midlandsfca.com,,Columbia,SC,,Fellowship of Christian Athletes — high school + college
Cru USC,youth,Campus Ministry,,,cru.org,,Columbia,SC,,Campus Crusade at USC — large student org
InterVarsity Christian Fellowship USC,youth,Campus Ministry,,(704) 576-8805,intervarsity.org,1023 Drake St,Columbia,SC,29209,College campus ministry at USC
Reformed University Fellowship USC,youth,Campus Ministry,,,ruf.org,,Columbia,SC,,Presbyterian campus ministry at USC
Campus Outreach Columbia,youth,Campus Ministry,,,campusoutreach.org,,Columbia,SC,,College discipleship ministry
Baptist Collegiate Ministry USC,youth,Campus Ministry,,,scbaptist.org/bcm,,Columbia,SC,,Baptist student faith community at USC
Chi Alpha USC,youth,Campus Ministry,,,chialpha.com,,Columbia,SC,,Assemblies of God campus ministry
The Navigators Columbia,youth,Campus Ministry,,,navigators.org,,Columbia,SC,,Military + campus discipleship
SC4 Christian Chamber,business,Business Network,,,sc4.org,,Columbia,SC,,Christian business chamber — members need marketing
CBMC Columbia,business,Men's Business Ministry,,,cbmc.com,,Columbia,SC,,Christian Business Men's Connection — marketplace discipleship
Christian Chamber of the Midlands,business,Business Network,,,,,Columbia,SC,,Local Christian business networking
Crown Financial Ministries Columbia,business,Financial Ministry,,,crown.org,,Columbia,SC,,Biblical financial stewardship
